iter	Passed	Remaining
400	20135	30077
401	20190	30034
402	20244	29989
403	20300	29947
404	20361	29913
405	20423	29880
406	20454	29802
407	20509	29759
408	20561	29711
409	20617	29669
410	20671	29624
411	20715	29564
412	20773	29525
413	20823	29474
414	20878	29430
415	20934	29388
416	20993	29349
417	21047	29304
418	21102	29261
419	21157	29216
420	21212	29172
421	21265	29127
422	21287	29037
423	21318	28961
424	21365	28906
425	21418	28860
426	21472	28814
427	21524	28765
428	21578	28720
429	21597	28629
430	21650	28582
431	21681	28506
432	21737	28463
433	21792	28420
434	21846	28374
435	21904	28334
436	21957	28288
437	22016	28249
438	22075	28209
439	22114	28145
440	22164	28095
441	22216	28046
442	22268	27999
443	22322	27953
444	22378	27909
445	22402	27827
446	22457	27782
447	22518	27745
448	22569	27697
449	22625	27653
450	22681	27609
451	22737	27566
452	22791	27521
453	22848	27479
454	22904	27435
455	22958	27388
456	23033	27368
457	23088	27323
458	23145	27280
459	23198	27232
460	23251	27185
461	23308	27142
462	23362	27096
463	23415	27048
464	23470	27003
465	23492	26920
466	23515	26838
467	23568	26791
468	23622	26745
469	23677	26700
470	23722	26643
471	23776	26597
472	23831	26551
473	23883	26503
474	23918	26436
475	23973	26390
476	24027	26344
477	24081	26298
478	24134	26250
479	24191	26207
480	24245	26161
481	24305	26120
482	24359	26074
483	24414	26029
484	24470	25983
485	24532	25945
486	24588	25900
487	24641	25853
488	24702	25813
489	24761	25772
490	24819	25729
491	24881	25690
492	24937	25645
493	24995	25603
494	25050	25556
495	25108	25513
496	25165	25468
497	25217	25419
498	25274	25376
499	25331	25331
500	25385	25284
501	25440	25237
502	25497	25192
503	25549	25143
504	25600	25093
505	25653	25045
506	25711	25001
507	25765	24953
508	25819	24906
509	25872	24857
510	25925	24809
511	25976	24758
512	26033	24714
513	26093	24672
514	26121	24599
515	26181	24557
516	26246	24520
517	26301	24473
518	26360	24430
519	26412	24380
520	26465	24332
521	26523	24287
522	26577	24240
523	26626	24187
524	26682	24141
525	26739	24096
526	26794	24048
527	26844	23997
528	26896	23947
529	26933	23884
530	26986	23835
531	27044	23790
532	27098	23742
533	27155	23697
534	27213	23653
535	27271	23607
536	27326	23561
537	27385	23516
538	27441	23470
539	27499	23425
540	27555	23378
541	27591	23315
542	27645	23266
543	27698	23217
544	27756	23172
545	27813	23126
546	27866	23077
547	27926	23034
548	27982	22987
549	28038	22940
550	28092	22891
551	28149	22845
552	28191	22787
553	28277	22764
554	28343	22725
555	28411	22688
556	28465	22639
557	28504	22578
558	28557	22529
559	28611	22480
560	28640	22412
561	28694	22363
562	28751	22316
563	28806	22268
564	28858	22218
565	28886	22149
566	28940	22101
567	28993	22051
568	29050	22004
569	29103	21955
570	29163	21910
571	29218	21862
572	29277	21817
573	29304	21748
574	29358	21699
575	29412	21650
576	29468	21603
577	29521	21553
578	29575	21504
579	29625	21452
580	29676	21401
581	29732	21354
582	29767	21291
583	29833	21251
584	29868	21188
585	29921	21139
586	29973	21088
587	30025	21038
588	30079	20989
589	30132	20939
590	30170	20879
591	30223	20829
592	30279	20781
593	30333	20733
594	30384	20681
595	30441	20634
596	30493	20584
597	30547	20535
598	30596	20483
599	30650	20433
600	30700	20381
601	30754	20332
602	30806	20282
603	30859	20232
604	30911	20182
605	30969	20135
606	31022	20085
607	31077	20036
608	31135	19989
609	31190	19941
610	31249	19895
611	31316	19854
612	31371	19805
613	31427	19757
614	31485	19710
615	31540	19661
616	31593	19611
617	31652	19565
618	31706	19515
619	31765	19469
620	31820	19420
621	31876	19371
622	31928	19321
623	31985	19273
624	32039	19223
625	32092	19173
626	32142	19121
627	32193	19069
628	32245	19019
629	32300	18970
630	32350	18918
631	32408	18870
632	32468	18824
633	32523	18775
634	32574	18724
635	32628	18674
636	32682	18624
637	32736	18574
638	32795	18527
639	32851	18479
640	32908	18431
641	32968	18384
642	33022	18334
643	33076	18284
644	33131	18235
645	33188	18186
646	33240	18135
647	33296	18087
648	33352	18038
649	33405	17987
650	33460	17937
651	33505	17883
652	33561	17834
653	33615	17784
654	33667	17733
655	33737	17691
656	33793	17642
657	33849	17593
658	33905	17544
659	33955	17492
660	34016	17445
661	34056	17388
662	34112	17339
663	34165	17288
664	34223	17240
665	34289	17196
666	34343	17145
667	34398	17096
668	34454	17046
669	34516	17000
670	34569	16949
671	34622	16899
672	34672	16847
673	34730	16798
674	34786	16748
675	34842	16699
676	34897	16649
677	34953	16600
678	35007	16549
679	35064	16500
680	35117	16449
681	35174	16400
682	35226	16349
683	35279	16298
684	35334	16248
685	35390	16199
686	35443	16148
687	35500	16099
688	35560	16051
689	35616	16001
690	35675	15953
691	35753	15913
692	35803	15860
693	35854	15808
694	35906	15757
695	35960	15706
696	36014	15656
697	36067	15605
698	36120	15554
699	36183	15507
700	36235	15455
701	36293	15406
702	36347	15356
703	36407	15307
704	36466	15259
705	36556	15223
706	36619	15176
707	36683	15129
708	36746	15082
709	36816	15037
710	36871	14987
711	36925	14935
712	36983	14886
713	37039	14836
714	37099	14788
715	37154	14737
716	37210	14687
717	37270	14638
718	37319	14585
719	37372	14533
720	37427	14483
721	37485	14433
722	37539	14382
723	37593	14331
724	37652	14282
725	37710	14232
726	37767	14182
727	37821	14131
728	37884	14083
729	37938	14032
730	38000	13983
731	38063	13935
732	38118	13884
733	38174	13834
734	38226	13782
735	38280	13731
736	38339	13681
737	38394	13630
738	38455	13581
739	38507	13529
740	38561	13478
741	38616	13427
742	38672	13376
743	38728	13325
744	38788	13276
745	38843	13225
746	38899	13174
747	38947	13121
748	38998	13069
749	39055	13018
750	39121	12971
751	39174	12919
752	39227	12867
753	39281	12816
754	39341	12766
755	39401	12716
756	39453	12664
757	39515	12615
758	39572	12565
759	39628	12514
760	39705	12469
761	39770	12421
762	39819	12368
763	39875	12317
764	39927	12265
765	39991	12216
766	40045	12165
767	40095	12112
768	40152	12061
769	40203	12008
770	40255	11956
771	40306	11903
772	40360	11852
773	40417	11801
774	40470	11749
775	40527	11698
776	40580	11646
777	40639	11596
778	40699	11546
779	40754	11494
780	40807	11442
781	40861	11391
782	40922	11341
783	40984	11291
784	41041	11240
785	41109	11192
786	41171	11143
787	41227	11091
788	41293	11043
789	41345	10990
790	41405	10940
791	41463	10889
792	41516	10837
793	41573	10786
794	41630	10734
795	41695	10685
796	41752	10634
797	41817	10585
798	41873	10533
799	41929	10482
800	41987	10431
801	42038	10378
802	42093	10326
803	42146	10274
804	42197	10221
805	42259	10171
806	42310	10118
807	42375	10069
808	42443	10020
809	42497	9968
810	42556	9917
811	42617	9867
812	42670	9814
813	42726	9763
814	42785	9712
815	42845	9661
816	42895	9608
817	42948	9555
818	43010	9505
819	43069	9454
820	43130	9403
821	43181	9350
822	43236	9298
823	43289	9246
824	43344	9194
825	43405	9143
826	43460	9091
827	43519	9040
828	43572	8987
829	43628	8936
830	43683	8883
831	43755	8835
832	43820	8785
833	43877	8733
834	43948	8684
835	44017	8634
836	44080	8584
837	44137	8532
838	44199	8481
839	44265	8431
840	44330	8381
841	44384	8328
842	44439	8276
843	44510	8227
844	44583	8178
845	44635	8125
846	44690	8072
847	44754	8021
848	44827	7972
849	44913	7925
850	44975	7874
851	45038	7823
852	45103	7772
853	45175	7723
854	45237	7671
855	45290	7619
856	45351	7567
857	45420	7517
858	45489	7466
859	45548	7414
860	45600	7361
861	45656	7309
862	45716	7257
863	45781	7206
864	45840	7154
865	45896	7101
866	45951	7049
867	46007	6996
868	46074	6945
869	46137	6894
870	46198	6842
871	46252	6789
872	46308	6736
873	46368	6684
874	46428	6632
875	46492	6581
876	46557	6529
877	46623	6478
878	46694	6427
879	46749	6374
880	46802	6321
881	46881	6272
882	46941	6219
883	47014	6169
884	47068	6116
885	47134	6064
886	47187	6011
887	47242	5958
888	47306	5906
889	47374	5855
890	47437	5803
891	47488	5749
892	47550	5697
893	47605	5644
894	47659	5591
895	47718	5538
896	47780	5486
897	47840	5434
898	47926	5384
899	47988	5332
900	48053	5279
901	48111	5227
902	48171	5174
903	48238	5122
904	48302	5070
905	48362	5017
906	48428	4965
907	48496	4913
908	48565	4861
909	48630	4809
910	48690	4756
911	48745	4703
912	48798	4650
913	48859	4597
914	48916	4544
915	48968	4490
916	49024	4437
917	49096	4385
918	49147	4331
919	49199	4278
920	49254	4224
921	49311	4171
922	49371	4118
923	49428	4065
924	49486	4012
925	49538	3958
926	49591	3905
927	49643	3851
928	49704	3798
929	49759	3745
930	49813	3691
931	49868	3638
932	49918	3584
933	49973	3531
934	50029	3477
935	50083	3424
936	50152	3372
937	50209	3318
938	50264	3265
939	50320	3211
940	50373	3158
941	50429	3105
942	50489	3051
943	50545	2998
944	50602	2945
945	50655	2891
946	50709	2838
947	50762	2784
948	50815	2730
949	50866	2677
950	50922	2623
951	50979	2570
952	51033	2516
953	51089	2463
954	51147	2410
955	51202	2356
956	51256	2303
957	51309	2249
958	51364	2195
959	51421	2142
960	51475	2089
961	51525	2035
962	51578	1981
963	51633	1928
964	51692	1874
965	51746	1821
966	51806	1767
967	51861	1714
968	51917	1660
969	51976	1607
970	52030	1553
971	52086	1500
972	52169	1447
973	52223	1394
974	52276	1340
975	52332	1286
976	52388	1233
977	52441	1179
978	52498	1126
979	52553	1072
980	52607	1018
981	52660	965
982	52717	911
983	52774	858
984	52828	804
985	52884	750
986	52956	697
987	53012	643
988	53068	590
989	53123	536
990	53178	482
991	53240	429
992	53325	375
993	53382	322
994	53441	268
995	53503	214
996	53568	161
997	53628	107
998	53685	53
999	53738	0
