iter	Logloss
0	0.6824409158
1	0.6750706262
2	0.666697424
3	0.6582429497
4	0.6501022814
5	0.644135473
6	0.6366653267
7	0.6293080069
8	0.6226077246
9	0.6156458925
10	0.6093309562
11	0.6041771432
12	0.5998612294
13	0.5939477536
14	0.5888654034
15	0.5836822005
16	0.5783176506
17	0.5744360273
18	0.569381116
19	0.5659381376
20	0.5618594161
21	0.5579573266
22	0.5543793346
23	0.5504106041
24	0.5465964575
25	0.5433045814
26	0.5397994327
27	0.5372737035
28	0.533871138
29	0.5302269904
30	0.5282532448
31	0.5258718783
32	0.5227578911
33	0.5203531921
34	0.5187034265
35	0.5164006674
36	0.5143398209
37	0.5117848355
38	0.5097356323
39	0.5076563119
40	0.5053362566
41	0.5037607481
42	0.5020373124
43	0.501010497
44	0.5002482606
45	0.49809146
46	0.4964629118
47	0.4946931988
48	0.4933234652
49	0.4916362209
50	0.4901700849
51	0.4887674048
52	0.4871716031
53	0.4854701781
54	0.4841464653
55	0.482771228
56	0.4815739987
57	0.4803445104
58	0.4790417317
59	0.4776839052
60	0.4764072236
61	0.4751446851
62	0.4739386871
63	0.4730731076
64	0.4721122283
65	0.4713718114
66	0.4704706551
67	0.4696099219
68	0.4685234618
69	0.467550293
70	0.4661357698
71	0.4655834623
72	0.4652466164
73	0.464554563
74	0.4637251612
75	0.463030694
76	0.4624980435
77	0.4621153424
78	0.461761305
79	0.4608736888
80	0.4601770111
81	0.4598017264
82	0.4590444969
83	0.458406101
84	0.4576484827
85	0.4569772157
86	0.4561775584
87	0.4559967713
88	0.4552186019
89	0.454542719
90	0.4540843877
91	0.4534894074
92	0.4531314619
93	0.4527223415
94	0.4523508642
95	0.4519458892
96	0.451416562
97	0.4510452436
98	0.4507022084
99	0.4503484333
100	0.4498326666
101	0.4493783377
102	0.4492088182
103	0.4487384942
104	0.4483406352
105	0.4479498803
106	0.4475382143
107	0.4473095638
108	0.4470332019
109	0.4468233127
110	0.4463512631
111	0.4462960244
112	0.4458964451
113	0.4454859906
114	0.4451612618
115	0.4450412738
116	0.444857398
117	0.4447553647
118	0.4443439011
119	0.4441066027
120	0.443981133
121	0.4434761885
122	0.4431357073
123	0.442968061
124	0.4427650627
125	0.4424620449
126	0.4422874769
127	0.4420377144
128	0.4417001411
129	0.4411911607
130	0.4410012728
131	0.4407276266
132	0.4406851764
133	0.4402211276
134	0.4398463243
135	0.4395917027
136	0.4393604882
137	0.4390818188
138	0.4388663985
139	0.4384442866
140	0.4382867854
141	0.4380291666
142	0.4377689238
143	0.4373320371
144	0.4371166528
145	0.4370441231
146	0.4369520137
147	0.4367723728
148	0.4365278078
149	0.4364152518
150	0.4363242303
151	0.4360812169
152	0.435835171
153	0.4355038506
154	0.4352992691
155	0.43502682
156	0.4348026165
157	0.4346862779
158	0.4344337735
159	0.434432679
160	0.4343376486
161	0.4339396704
162	0.4337365258
163	0.4337283069
164	0.4336986777
165	0.4332443901
166	0.432780777
167	0.4325014694
168	0.4323872172
169	0.4322666916
170	0.4322600524
171	0.4321313227
172	0.4319150434
173	0.431708069
174	0.4314828373
175	0.4314626092
176	0.4312249675
177	0.4311006995
178	0.4310308727
179	0.4309340676
180	0.4305683155
181	0.4301611787
182	0.429969132
183	0.429957581
184	0.4294596381
185	0.4292947993
186	0.4290389674
187	0.428740104
188	0.4286763414
189	0.4283786377
190	0.4281628626
191	0.428035307
192	0.4280326413
193	0.4279821804
194	0.427720966
195	0.4275217029
196	0.4274169936
197	0.4271403119
198	0.4271235392
199	0.4269667484
200	0.426927378
201	0.4269057908
202	0.4268678812
203	0.4268384705
204	0.4266739794
205	0.4263672789
206	0.42622001
207	0.4258777011
208	0.4255833305
209	0.4254002788
210	0.4253330976
211	0.4249867348
212	0.4248160108
213	0.4247813729
214	0.4247588111
215	0.4246136915
216	0.4244842991
217	0.4243205329
218	0.4241653712
219	0.4239257409
220	0.4237248307
221	0.4236025519
222	0.4234743141
223	0.423289678
224	0.4232583066
225	0.4232582946
226	0.4230205732
227	0.422974904
228	0.4229658869
229	0.4226210386
230	0.4225869369
231	0.4222651697
232	0.4221318303
233	0.4218812702
234	0.4218645009
235	0.4218401327
236	0.4216475861
237	0.4214344965
238	0.4214043265
239	0.4211611109
240	0.4210395356
241	0.420792381
242	0.4206418226
243	0.4206313204
244	0.4204580101
245	0.4203987063
246	0.4203154031
247	0.420307645
248	0.4201946257
249	0.4200395973
250	0.4197837064
251	0.419693374
252	0.4194393148
253	0.4193510512
254	0.4193312476
255	0.41916008
256	0.418935406
257	0.4186164823
258	0.4185118041
259	0.4184875671
260	0.4183137025
261	0.4181679598
262	0.4181453102
263	0.418115951
264	0.4179214846
265	0.4178417369
266	0.4177148205
267	0.4174752136
268	0.4173556339
269	0.4173124883
270	0.4169475915
271	0.4169161264
272	0.4166642778
273	0.4166491242
274	0.4166060526
275	0.416439296
276	0.4161426928
277	0.4161380591
278	0.4158535076
279	0.4158018963
280	0.4157191104
281	0.415522635
282	0.4153756958
283	0.4153651309
284	0.4152389351
285	0.4151214089
286	0.4150402777
287	0.414938921
288	0.4148401525
289	0.4145550954
290	0.4144422631
291	0.4144235324
292	0.4144190557
293	0.4141811297
294	0.4141313915
295	0.4140055114
296	0.4139269449
297	0.4139132657
298	0.4138797761
299	0.4138650371
300	0.4137675191
301	0.4137319763
302	0.4136244283
303	0.413538352
304	0.4133102259
305	0.4131665576
306	0.4131362766
307	0.4131235452
308	0.4130445913
309	0.4129105321
310	0.4128395549
311	0.4126662078
312	0.4126074511
313	0.4123903178
314	0.4122040422
315	0.4121849613
316	0.4121777415
317	0.4121286983
318	0.4120201688
319	0.4118176466
320	0.4118175447
321	0.4117433975
322	0.4117243091
323	0.4115773502
324	0.4115773497
325	0.411434173
326	0.4112980782
327	0.4112577958
328	0.4109063748
329	0.4107976749
330	0.4105016371
331	0.4103492887
332	0.4102609013
333	0.410136398
334	0.4100596125
335	0.409840555
336	0.4097010178
337	0.4095936313
338	0.4094330484
339	0.4094226796
340	0.409259758
341	0.4091653738
342	0.4091228889
343	0.4091228855
344	0.4089485883
345	0.4087870079
346	0.4087352819
347	0.4086662572
348	0.4085990132
349	0.4085990129
350	0.408578645
351	0.4084422638
352	0.4084422633
353	0.408344137
354	0.4083358063
355	0.4081573803
356	0.4079801967
357	0.4078411114
358	0.4078381591
359	0.4077640655
360	0.4077575132
361	0.4077575124
362	0.4076858869
363	0.4076234198
364	0.4075588752
365	0.4074408395
366	0.4072389492
367	0.407238135
368	0.4071195071
369	0.4068625256
370	0.4068625249
371	0.4067160981
372	0.4066669988
