iter	MultiClass
0	1.028977077
1	0.9654283733
2	0.9116410948
3	0.8688891842
4	0.830169164
5	0.7984501496
6	0.7718159615
7	0.7496250795
8	0.7279849726
9	0.70721982
10	0.6889312793
11	0.6740614093
12	0.6576063601
13	0.641809319
14	0.6281767018
15	0.6165466493
16	0.605293601
17	0.5959582533
18	0.5867979101
19	0.5777262394
20	0.5691005856
21	0.5609960658
22	0.5530439056
23	0.5462304561
24	0.5388210514
25	0.5338627538
26	0.5284361546
27	0.5211774632
28	0.5155174037
29	0.5105184359
30	0.5048384513
31	0.5004238693
32	0.4970922661
33	0.4916436763
34	0.4877116169
35	0.4837753249
36	0.4798870678
37	0.4755669439
38	0.4727690509
39	0.4698547259
40	0.4663613598
41	0.4625507046
42	0.4597334274
43	0.4564145077
44	0.452975319
45	0.4494650438
46	0.446834866
47	0.4435733289
48	0.4399228143
49	0.4363228849
50	0.4333616838
51	0.4310711232
52	0.428394425
53	0.4264409125
54	0.4232782505
55	0.4203035359
56	0.4175307742
57	0.4148920422
58	0.4123006233
59	0.4096020195
60	0.4075536961
61	0.4060560948
62	0.4038197641
63	0.4016303847
64	0.3991295275
65	0.3964723157
66	0.3943288448
67	0.3919459745
68	0.3895106787
69	0.3869345646
70	0.3838700715
71	0.3821710785
72	0.3809315816
73	0.3794064622
74	0.3774717117
75	0.375860417
76	0.3731251844
77	0.3716839311
78	0.3692152488
79	0.3679438573
80	0.3661216266
81	0.3648133073
82	0.3626361585
83	0.3618602288
84	0.3593727134
85	0.3578006492
86	0.356515605
87	0.3555045332
88	0.3537155463
89	0.351236335
90	0.3504178973
91	0.3492068767
92	0.3475063672
93	0.3458701001
94	0.3440329874
95	0.3415369948
96	0.3399090954
97	0.3376262121
98	0.3364997868
99	0.3354429826
100	0.3339230768
101	0.3326389922
102	0.3314586664
103	0.3303302925
104	0.3292231672
105	0.3266778573
106	0.3258097498
107	0.3245733219
108	0.3222100513
109	0.3210248485
110	0.3198500153
111	0.3179928695
112	0.3169352098
113	0.3158328632
114	0.3146440915
115	0.3138113592
116	0.3125130803
117	0.3116180969
118	0.3099412335
119	0.309029456
120	0.3073933605
121	0.3059131661
122	0.3043710668
123	0.3029744603
124	0.3012089722
125	0.2995441689
126	0.2982881334
127	0.2975699124
128	0.2968026285
129	0.2959795301
130	0.2948190598
131	0.2937155562
132	0.2928380348
133	0.2909284883
134	0.2893630241
135	0.2883667896
136	0.2871322057
137	0.2860440443
138	0.2847949106
139	0.2842661785
140	0.2832150628
141	0.2819221185
142	0.2813635151
143	0.2804413142
144	0.279505806
145	0.277874429
146	0.27618277
147	0.2752215142
148	0.2741419352
149	0.2729878363
150	0.2715332614
151	0.2705379041
152	0.2701621149
153	0.269381716
154	0.2687435033
155	0.2677520447
156	0.2668293276
157	0.2657591383
158	0.2650409105
159	0.2638846937
160	0.2632708205
161	0.2624752649
162	0.2616531303
163	0.2599260361
164	0.2590056829
165	0.2580412605
166	0.2570798978
167	0.2558463164
168	0.254904815
169	0.2543166918
170	0.2531703868
171	0.2518015015
172	0.2509991129
173	0.2500091032
174	0.2489219831
175	0.2484959903
176	0.2478942837
177	0.2473084322
178	0.2463936833
179	0.2455522442
180	0.2443110126
181	0.2431433934
182	0.2427286596
183	0.242111402
184	0.2410652717
185	0.240252987
186	0.2399013991
187	0.239206742
188	0.2379260094
189	0.2372299339
190	0.2363934563
191	0.235528631
192	0.2348943629
193	0.2343056861
194	0.2336885079
195	0.2330935571
196	0.2325073499
197	0.231012134
198	0.2302229548
199	0.2291505202
200	0.2282034344
201	0.2272925489
202	0.2263061602
203	0.2256654892
204	0.2244027898
205	0.2238790019
206	0.2229634725
207	0.2221992915
208	0.2215255251
209	0.2206845991
210	0.2202315646
211	0.2189322915
212	0.2185936842
213	0.2176703112
214	0.2168284109
215	0.2164653326
216	0.2158562923
217	0.215316002
218	0.2141172314
219	0.2132691021
220	0.2128153499
221	0.2124402856
222	0.2117510012
223	0.2115438283
224	0.2105505083
225	0.2101115621
226	0.2089927373
227	0.2082661628
228	0.2073136938
229	0.2065565722
230	0.205991957
231	0.2054228159
232	0.204704582
233	0.2035343207
234	0.2030950512
235	0.202401618
236	0.2018726833
237	0.2013140608
238	0.2009752947
239	0.2005769568
240	0.2001113585
241	0.1993197883
242	0.1986022357
243	0.1980162416
244	0.1976786806
245	0.1972563559
246	0.1963897564
247	0.1958170303
248	0.1949969762
249	0.1945313395
250	0.1939356309
251	0.1934399848
252	0.1930923629
253	0.1922940805
254	0.1913152168
255	0.1906979436
256	0.1898918217
257	0.1894232081
258	0.1887949388
259	0.1880087318
260	0.187041918
261	0.1864103471
262	0.1859817309
263	0.1855019286
264	0.1851201477
265	0.1848222554
266	0.1843534406
267	0.1834320204
268	0.1831095789
269	0.1826013787
270	0.1822870505
271	0.1816445905
272	0.1811188305
273	0.1808210716
274	0.1803345755
275	0.1799600234
276	0.1796447531
277	0.179078635
278	0.1787231773
279	0.1780970762
280	0.1776158684
281	0.1771014043
282	0.176788645
283	0.1764902544
284	0.1762212772
285	0.1759093742
286	0.1751248378
287	0.1745121851
288	0.1740925223
289	0.1736961407
290	0.1731097805
291	0.1726401275
292	0.1722127466
293	0.1718011848
294	0.1712684075
295	0.1706672182
296	0.1699786243
297	0.1695431202
298	0.1690928679
299	0.1685202346
300	0.1683227817
301	0.1676395181
302	0.1670301334
303	0.1665094496
304	0.1661292069
305	0.165655369
306	0.1650044068
307	0.1646582533
308	0.1643611387
309	0.1641892481
310	0.1637797449
311	0.1629410782
312	0.1625863467
313	0.162191909
314	0.1619941168
315	0.1615566359
316	0.1613685686
317	0.1610618279
318	0.1608069513
319	0.1602499159
320	0.1597259033
321	0.1594941796
322	0.1592321664
323	0.1588017448
324	0.1583374191
325	0.1577903002
326	0.1573371704
327	0.1566655266
328	0.1563705222
329	0.1557280368
330	0.1552531401
331	0.1550367936
332	0.1543765555
333	0.1541671574
334	0.1537636973
335	0.1532831488
336	0.1526386395
337	0.1522558064
338	0.1516626575
339	0.1514043503
340	0.1509753404
341	0.1505874347
342	0.1500984309
343	0.1496078162
344	0.1493410247
345	0.148893549
346	0.1486958222
347	0.1483104229
348	0.1479126426
349	0.1476231456
350	0.1470090229
351	0.146429595
352	0.146251578
353	0.145974251
354	0.145773329
355	0.1454581325
356	0.14501822
357	0.1447712286
358	0.1445307832
359	0.1442330705
360	0.1439920188
361	0.1436532938
362	0.1433107886
363	0.1430520019
364	0.1427787406
365	0.142552643
366	0.1421477684
367	0.1415731733
368	0.1412172906
369	0.1407822749
370	0.1402213012
371	0.1397887129
372	0.1394512677
373	0.1389813125
374	0.1388048202
375	0.1385602842
376	0.1381993713
377	0.1378636527
378	0.1377162094
379	0.1373084244
380	0.1370245329
381	0.136788313
382	0.1361824011
383	0.1358685376
384	0.135558289
385	0.1350590788
386	0.1348018266
387	0.1346323568
388	0.1343492874
389	0.1338376955
390	0.1333952277
391	0.1330160237
392	0.1327409942
393	0.1323951857
394	0.1320594016
395	0.1318258703
396	0.1316800078
397	0.1313760553
398	0.1310285845
399	0.1309212232
400	0.1307549616
401	0.130458423
402	0.1302522262
403	0.1300629596
404	0.129902079
405	0.1296303668
406	0.1294168655
407	0.1290574816
408	0.1289356474
409	0.1286642273
410	0.128039368
411	0.1278317615
412	0.1274306918
413	0.1270678689
414	0.1267387063
415	0.1264149405
416	0.1260866423
417	0.1257894192
418	0.12565025
419	0.1253086835
420	0.1250818977
421	0.1246496426
422	0.1243806473
423	0.1242100531
424	0.1238985685
425	0.1236662775
426	0.1233189781
427	0.1229143933
428	0.1225882118
429	0.1221647174
430	0.1218197006
431	0.1215043246
432	0.1213536712
433	0.1209766211
434	0.1207121171
435	0.1201645405
436	0.1197202746
437	0.119496483
438	0.1193231065
439	0.1191579741
440	0.1187844969
441	0.1185829076
442	0.1184429268
443	0.1180759518
444	0.1179304886
445	0.1175903149
446	0.1172128555
447	0.1169583836
448	0.1168096113
449	0.1165791069
450	0.1162074619
451	0.1159202303
452	0.1154333173
453	0.1149753245
454	0.1144895249
455	0.1142370405
456	0.1138383212
457	0.1136442497
458	0.1133183238
459	0.1131434516
460	0.1129849592
461	0.1125708625
462	0.1123633813
463	0.1122571256
464	0.1120878212
465	0.1118782501
466	0.1115886171
467	0.1114428431
468	0.1111360074
469	0.1109969642
470	0.110705205
471	0.1104646098
472	0.1101310139
473	0.109921878
474	0.1097435213
475	0.1096028148
476	0.1092976588
477	0.109169648
478	0.108867031
479	0.1085666445
480	0.108252828
481	0.1078190742
482	0.1073208962
483	0.1070782111
484	0.106844282
485	0.1067131446
486	0.1064084919
487	0.1061830019
488	0.1059683478
489	0.1055881801
490	0.1054026353
491	0.1051472833
492	0.1048710391
493	0.1047453924
494	0.1044734479
495	0.1042898622
496	0.1041106683
497	0.1037744925
498	0.1034298997
499	0.1031733511
