iter	Passed	Remaining
406	5774	8413
407	5786	8396
408	5801	8383
409	5815	8368
410	5829	8353
411	5844	8341
412	5858	8326
413	5871	8311
414	5884	8294
415	5896	8277
416	5908	8261
417	5921	8245
418	5934	8229
419	5946	8211
420	5958	8195
421	5971	8178
422	5985	8164
423	5998	8148
424	6011	8132
425	6023	8115
426	6034	8098
427	6048	8083
428	6061	8068
429	6074	8052
430	6087	8036
431	6099	8019
432	6111	8002
433	6123	7985
434	6135	7968
435	6146	7951
436	6159	7935
437	6172	7919
438	6185	7904
439	6200	7891
440	6215	7879
441	6227	7861
442	6239	7845
443	6250	7827
444	6262	7810
445	6276	7796
446	6289	7781
447	6303	7766
448	6316	7751
449	6332	7740
450	6345	7724
451	6359	7709
452	6371	7693
453	6383	7677
454	6395	7660
455	6408	7645
456	6420	7628
457	6432	7612
458	6446	7597
459	6460	7583
460	6475	7571
461	6490	7558
462	6510	7550
463	6522	7534
464	6534	7518
465	6546	7502
466	6559	7486
467	6572	7471
468	6588	7459
469	6600	7443
470	6612	7426
471	6623	7409
472	6634	7392
473	6646	7375
474	6658	7359
475	6669	7342
476	6681	7325
477	6696	7313
478	6710	7298
479	6722	7282
480	6735	7268
481	6747	7251
482	6760	7235
483	6771	7218
484	6782	7201
485	6794	7185
486	6805	7168
487	6817	7152
488	6841	7148
489	6852	7132
490	6863	7114
491	6874	7098
492	6886	7082
493	6901	7069
494	6913	7053
495	6924	7036
496	6936	7020
497	6948	7004
498	6958	6986
499	6969	6969
500	6980	6952
501	6991	6935
502	7001	6918
503	7013	6901
504	7024	6885
505	7035	6868
506	7046	6852
507	7058	6835
508	7069	6819
509	7081	6803
510	7092	6787
511	7106	6772
512	7118	6757
513	7129	6741
514	7141	6725
515	7152	6708
516	7165	6694
517	7177	6678
518	7188	6662
519	7200	6646
520	7212	6630
521	7224	6615
522	7237	6601
523	7251	6587
524	7267	6575
525	7286	6566
526	7299	6551
527	7312	6536
528	7331	6527
529	7348	6516
530	7361	6501
531	7373	6486
532	7385	6470
533	7395	6453
534	7406	6437
535	7416	6420
536	7428	6404
537	7440	6389
538	7453	6375
539	7465	6359
540	7478	6344
541	7492	6331
542	7503	6315
543	7514	6298
544	7532	6288
545	7543	6272
546	7554	6256
547	7567	6241
548	7579	6226
549	7590	6210
550	7602	6195
551	7616	6181
552	7628	6166
553	7639	6150
554	7652	6135
555	7666	6122
556	7679	6107
557	7692	6093
558	7707	6080
559	7718	6064
560	7730	6049
561	7742	6034
562	7754	6018
563	7766	6003
564	7777	5988
565	7788	5972
566	7799	5956
567	7810	5940
568	7822	5924
569	7833	5909
570	7848	5896
571	7862	5882
572	7874	5867
573	7886	5852
574	7898	5838
575	7910	5822
576	7922	5808
577	7936	5794
578	7950	5780
579	7963	5766
580	7975	5751
581	7986	5736
582	7999	5721
583	8011	5706
584	8023	5692
585	8036	5677
586	8047	5661
587	8058	5646
588	8068	5630
589	8079	5614
590	8090	5598
591	8101	5583
592	8112	5567
593	8123	5552
594	8136	5538
595	8149	5524
596	8161	5509
597	8172	5493
598	8183	5478
599	8195	5463
600	8205	5447
601	8220	5434
602	8236	5422
603	8262	5417
604	8277	5404
605	8290	5390
606	8301	5375
607	8312	5359
608	8324	5344
609	8336	5329
610	8348	5315
611	8359	5300
612	8371	5284
613	8382	5269
614	8394	5255
615	8406	5240
616	8418	5225
617	8432	5212
618	8443	5196
619	8454	5181
620	8468	5168
621	8480	5154
622	8492	5139
623	8503	5124
624	8514	5108
625	8525	5093
626	8537	5079
627	8548	5064
628	8560	5048
629	8571	5034
630	8583	5019
631	8596	5005
632	8609	4991
633	8622	4977
634	8634	4963
635	8649	4950
636	8663	4937
637	8674	4921
638	8685	4906
639	8697	4892
640	8707	4876
641	8718	4861
642	8729	4846
643	8740	4831
644	8751	4816
645	8762	4801
646	8776	4788
647	8787	4773
648	8799	4759
649	8810	4744
650	8821	4728
651	8832	4714
652	8843	4699
653	8854	4684
654	8865	4669
655	8876	4654
656	8887	4640
657	8901	4626
658	8914	4612
659	8927	4598
660	8939	4584
661	8951	4570
662	8962	4555
663	8973	4540
664	8985	4526
665	8996	4511
666	9007	4497
667	9018	4482
668	9029	4467
669	9040	4452
670	9051	4437
671	9062	4423
672	9076	4410
673	9088	4395
674	9099	4381
675	9110	4366
676	9122	4352
677	9133	4337
678	9144	4323
679	9156	4308
680	9166	4293
681	9177	4279
682	9189	4265
683	9201	4250
684	9214	4237
685	9227	4223
686	9238	4209
687	9249	4194
688	9261	4180
689	9273	4166
690	9287	4153
691	9300	4139
692	9313	4125
693	9328	4113
694	9348	4102
695	9359	4088
696	9371	4074
697	9383	4059
698	9394	4045
699	9405	4030
700	9417	4016
701	9428	4002
702	9440	3988
703	9455	3975
704	9469	3962
705	9482	3948
706	9494	3934
707	9505	3920
708	9516	3905
709	9527	3891
710	9539	3877
711	9552	3863
712	9563	3849
713	9574	3835
714	9584	3820
715	9595	3806
716	9608	3792
717	9622	3779
718	9637	3766
719	9656	3755
720	9670	3741
721	9682	3727
722	9694	3714
723	9704	3699
724	9716	3685
725	9726	3670
726	9737	3656
727	9748	3642
728	9759	3628
729	9771	3614
730	9783	3600
731	9796	3586
732	9807	3572
733	9818	3558
734	9829	3544
735	9840	3529
736	9852	3515
737	9862	3501
738	9873	3487
739	9885	3473
740	9895	3458
741	9906	3444
742	9918	3430
743	9929	3416
744	9941	3402
745	9952	3388
746	9962	3374
747	9975	3360
748	9987	3346
749	9999	3333
750	10010	3319
751	10021	3305
752	10032	3290
753	10044	3277
754	10055	3263
755	10066	3249
756	10081	3236
757	10094	3222
758	10106	3209
759	10120	3196
760	10136	3183
761	10147	3169
762	10160	3155
763	10173	3142
764	10186	3129
765	10198	3115
766	10209	3101
767	10219	3087
768	10231	3073
769	10242	3059
770	10254	3045
771	10271	3033
772	10284	3020
773	10295	3006
774	10306	2992
775	10317	2978
776	10328	2964
777	10340	2950
778	10351	2936
779	10362	2922
780	10376	2909
781	10390	2896
782	10405	2883
783	10417	2870
784	10434	2857
785	10447	2844
786	10459	2830
787	10470	2816
788	10481	2803
789	10492	2789
790	10504	2775
791	10516	2761
792	10527	2748
793	10539	2734
794	10551	2720
795	10563	2707
796	10576	2693
797	10589	2680
798	10602	2667
799	10615	2653
800	10631	2641
801	10643	2627
802	10655	2614
803	10666	2600
804	10677	2586
805	10688	2572
806	10700	2559
807	10713	2545
808	10725	2532
809	10738	2518
810	10749	2505
811	10760	2491
812	10773	2477
813	10785	2464
814	10795	2450
815	10807	2437
816	10819	2423
817	10830	2409
818	10841	2396
819	10853	2382
820	10863	2368
821	10873	2354
822	10886	2341
823	10900	2328
824	10910	2314
825	10920	2300
826	10930	2286
827	10940	2272
828	10951	2259
829	10961	2245
830	10972	2231
831	10982	2217
832	10993	2204
833	11004	2190
834	11016	2176
835	11030	2163
836	11043	2150
837	11056	2137
838	11069	2124
839	11082	2110
840	11092	2097
841	11103	2083
842	11115	2070
843	11128	2056
844	11141	2043
845	11154	2030
846	11166	2017
847	11177	2003
848	11189	1990
849	11200	1976
850	11211	1962
851	11226	1950
852	11236	1936
853	11246	1922
854	11257	1909
855	11267	1895
856	11277	1881
857	11289	1868
858	11302	1855
859	11314	1841
860	11326	1828
861	11337	1814
862	11348	1801
863	11358	1787
864	11369	1774
865	11381	1761
866	11393	1747
867	11407	1734
868	11418	1721
869	11429	1707
870	11441	1694
871	11452	1681
872	11462	1667
873	11474	1654
874	11488	1641
